uuid,type,city,location,timestamp,description
1349585,accident,,"{'lat': -33.455369868638364, 'lon': -70.60598967338719}",2025-06-17T03:36:41.803821+00:00,
5388350,accident,,"{'lat': -33.506220476456605, 'lon': -70.65372878977209}",2025-06-17T03:36:42.273982+00:00,
4314852,accident,,"{'lat': -33.421384595096455, 'lon': -70.70044840618894}",2025-06-17T03:36:42.493593+00:00,
1406958,accident,,"{'lat': -33.44139412886041, 'lon': -70.60317216692233}",2025-06-17T03:36:43.883798+00:00,
6833658,accident,,"{'lat': -33.4263324392909, 'lon': -70.56093194944292}",2025-06-17T03:36:44.346640+00:00,
4305397,accident,,"{'lat': -33.40289012439364, 'lon': -70.69269839761158}",2025-06-17T03:36:44.817040+00:00,
3864954,accident,,"{'lat': -33.40093976885314, 'lon': -70.60854003949102}",2025-06-17T03:36:45.501529+00:00,
3347268,accident,,"{'lat': -33.496085616011015, 'lon': -70.62543983103471}",2025-06-17T03:36:46.182981+00:00,
9324135,accident,,"{'lat': -33.39577901624635, 'lon': -70.71606508256976}",2025-06-17T03:36:46.402461+00:00,
7928682,accident,,"{'lat': -33.38006263970492, 'lon': -70.57471552023009}",2025-06-17T03:36:47.077475+00:00,
2816930,accident,,"{'lat': -33.453312366586594, 'lon': -70.65678323147591}",2025-06-17T03:36:47.991880+00:00,
2025150,accident,,"{'lat': -33.426459698684695, 'lon': -70.73982926749672}",2025-06-17T03:36:48.678001+00:00,
7282865,accident,,"{'lat': -33.50999566085123, 'lon': -70.64259983575268}",2025-06-17T03:36:49.129499+00:00,
5525583,accident,,"{'lat': -33.43096428200453, 'lon': -70.63568365751837}",2025-06-17T03:36:49.576904+00:00,
8091471,accident,,"{'lat': -33.35064961890963, 'lon': -70.57183509722465}",2025-06-17T03:36:50.716732+00:00,
3798582,accident,,"{'lat': -33.42713995763762, 'lon': -70.61779324330092}",2025-06-17T03:36:53.486285+00:00,
5070605,accident,,"{'lat': -33.46457385910832, 'lon': -70.64770624693757}",2025-06-17T03:36:54.158434+00:00,
6298222,accident,,"{'lat': -33.41233296188814, 'lon': -70.61747790152721}",2025-06-17T03:36:54.845345+00:00,
2214662,accident,,"{'lat': -33.45992931713455, 'lon': -70.58515304517405}",2025-06-17T03:36:55.305654+00:00,
1384688,accident,,"{'lat': -33.4494487943078, 'lon': -70.73978735831241}",2025-06-17T03:36:55.773402+00:00,
4510168,accident,,"{'lat': -33.43072818157905, 'lon': -70.65744363555244}",2025-06-17T03:36:56.704996+00:00,
3468746,accident,,"{'lat': -33.48245561200743, 'lon': -70.63814047777434}",2025-06-17T03:36:57.999597+00:00,
7729300,accident,,"{'lat': -33.44590843807822, 'lon': -70.64361475892164}",2025-06-17T03:36:58.444975+00:00,
9054392,accident,,"{'lat': -33.45085988647518, 'lon': -70.73313814198754}",2025-06-17T03:36:59.826963+00:00,
8917448,accident,,"{'lat': -33.44355807793396, 'lon': -70.69456354822375}",2025-06-17T03:37:00.046185+00:00,
4349358,accident,,"{'lat': -33.422042933218265, 'lon': -70.71242716630849}",2025-06-17T03:37:00.489897+00:00,
8917967,accident,,"{'lat': -33.477584313361554, 'lon': -70.55695044776041}",2025-06-17T03:37:00.732122+00:00,
7967003,accident,,"{'lat': -33.448342989536556, 'lon': -70.70467904767477}",2025-06-17T03:37:01.198569+00:00,
8028251,accident,,"{'lat': -33.35151112030505, 'lon': -70.6622402793045}",2025-06-17T03:37:01.418056+00:00,
9081873,accident,,"{'lat': -33.47446202250972, 'lon': -70.66963889847527}",2025-06-17T03:37:01.874147+00:00,
7239859,accident,,"{'lat': -33.46540714493593, 'lon': -70.65213232173933}",2025-06-17T03:37:02.104000+00:00,
7276995,accident,,"{'lat': -33.46447770091578, 'lon': -70.54593418945461}",2025-06-17T03:37:02.564604+00:00,
9975257,accident,,"{'lat': -33.43082981812949, 'lon': -70.66887925467493}",2025-06-17T03:37:03.026447+00:00,
6296977,accident,,"{'lat': -33.369920224473525, 'lon': -70.63165311051777}",2025-06-17T03:37:03.268178+00:00,
5105894,accident,,"{'lat': -33.471429299426035, 'lon': -70.69288753097172}",2025-06-17T03:37:05.322441+00:00,
1455732,accident,,"{'lat': -33.365453331622476, 'lon': -70.69196146137578}",2025-06-17T03:37:06.930504+00:00,
8937959,accident,,"{'lat': -33.50699087559035, 'lon': -70.5478115143412}",2025-06-17T03:37:07.391447+00:00,
5300605,accident,,"{'lat': -33.47085534189271, 'lon': -70.70774664711995}",2025-06-17T03:37:07.623946+00:00,
3234378,accident,,"{'lat': -33.40463746199959, 'lon': -70.68281997191224}",2025-06-17T03:37:08.075925+00:00,
1890157,accident,,"{'lat': -33.35369447972485, 'lon': -70.66697807062646}",2025-06-17T03:37:08.533634+00:00,
4740561,accident,,"{'lat': -33.45816894181319, 'lon': -70.65576174265105}",2025-06-17T03:37:08.994507+00:00,
3892589,accident,,"{'lat': -33.34789549776765, 'lon': -70.56986781092078}",2025-06-17T03:37:11.097038+00:00,
7074220,accident,,"{'lat': -33.39646801677128, 'lon': -70.70343797523917}",2025-06-17T03:37:11.334838+00:00,
1194303,accident,,"{'lat': -33.49538666520539, 'lon': -70.66524373801938}",2025-06-17T03:37:13.628779+00:00,
8049982,accident,,"{'lat': -33.44173890858033, 'lon': -70.6289363791787}",2025-06-17T03:37:13.870381+00:00,
3449127,accident,,"{'lat': -33.40836942346132, 'lon': -70.60030168152429}",2025-06-17T03:37:14.322116+00:00,
3942667,accident,,"{'lat': -33.47310305765383, 'lon': -70.6564506755237}",2025-06-17T03:37:14.761942+00:00,
1431919,accident,,"{'lat': -33.41740020110461, 'lon': -70.60047052882439}",2025-06-17T03:37:15.206558+00:00,
3354852,accident,,"{'lat': -33.48886262591671, 'lon': -70.5701509405703}",2025-06-17T03:37:15.648918+00:00,
2826569,accident,,"{'lat': -33.34838668372235, 'lon': -70.58207941327815}",2025-06-17T03:37:16.081420+00:00,
2662502,accident,,"{'lat': -33.509588239050174, 'lon': -70.64767999443038}",2025-06-17T03:37:17.422413+00:00,
2814128,accident,,"{'lat': -33.46785032932268, 'lon': -70.59764015874957}",2025-06-17T03:37:18.113371+00:00,
4721489,accident,,"{'lat': -33.43252335060457, 'lon': -70.65459907237052}",2025-06-17T03:37:19.497882+00:00,
3841884,accident,,"{'lat': -33.39821710546663, 'lon': -70.70591832472215}",2025-06-17T03:37:19.730153+00:00,
3105854,accident,,"{'lat': -33.4017304141572, 'lon': -70.72629760413679}",2025-06-17T03:37:20.203969+00:00,
1643411,accident,,"{'lat': -33.362255872348555, 'lon': -70.64452215751787}",2025-06-17T03:37:20.649579+00:00,
9059386,accident,,"{'lat': -33.351088030584336, 'lon': -70.57450386366014}",2025-06-17T03:37:21.082194+00:00,
6353082,accident,,"{'lat': -33.346512185273696, 'lon': -70.72259211681384}",2025-06-17T03:37:21.312779+00:00,
4786566,accident,,"{'lat': -33.39852247933042, 'lon': -70.65303816482955}",2025-06-17T03:37:21.780264+00:00,
3759009,accident,,"{'lat': -33.438822173693964, 'lon': -70.63521564966915}",2025-06-17T03:37:22.479092+00:00,
6556984,accident,,"{'lat': -33.39410367067989, 'lon': -70.54963813556817}",2025-06-17T03:37:22.952816+00:00,
5603235,accident,,"{'lat': -33.365939547265015, 'lon': -70.55326886025912}",2025-06-17T03:37:23.408807+00:00,
1128121,accident,,"{'lat': -33.38286089621536, 'lon': -70.63862193260324}",2025-06-17T03:37:23.861926+00:00,
5643873,accident,,"{'lat': -33.40353350456073, 'lon': -70.66777399436079}",2025-06-17T03:37:24.099303+00:00,
7082603,accident,,"{'lat': -33.42212659073196, 'lon': -70.73963584441216}",2025-06-17T03:37:24.541444+00:00,
9344728,accident,,"{'lat': -33.436828451949225, 'lon': -70.54792980869078}",2025-06-17T03:37:25.694720+00:00,
7484949,accident,,"{'lat': -33.39538494435538, 'lon': -70.65524101733159}",2025-06-17T03:37:27.552543+00:00,
7392789,accident,,"{'lat': -33.387222923095536, 'lon': -70.59441807643175}",2025-06-17T03:37:27.996025+00:00,
5243714,accident,,"{'lat': -33.491930940550006, 'lon': -70.59646928968827}",2025-06-17T03:37:30.302261+00:00,
4722758,accident,,"{'lat': -33.373700549246244, 'lon': -70.66869666152604}",2025-06-17T03:37:30.536091+00:00,
7301348,accident,,"{'lat': -33.4334647363849, 'lon': -70.65650213181564}",2025-06-17T03:37:30.756311+00:00,
5364022,accident,,"{'lat': -33.5105821095116, 'lon': -70.68044596511909}",2025-06-17T03:37:31.674862+00:00,
1980868,accident,,"{'lat': -33.418369912859234, 'lon': -70.67276780589948}",2025-06-17T03:37:32.602091+00:00,
3416834,accident,,"{'lat': -33.38485262399026, 'lon': -70.68700522487048}",2025-06-17T03:37:33.067702+00:00,
5971512,accident,,"{'lat': -33.37238071812589, 'lon': -70.5969050843709}",2025-06-17T03:37:34.457666+00:00,
7299709,accident,,"{'lat': -33.444238175444696, 'lon': -70.66217220050284}",2025-06-17T03:37:34.684747+00:00,
5498676,accident,,"{'lat': -33.39286247135315, 'lon': -70.57624204382947}",2025-06-17T03:37:35.369964+00:00,
4016510,accident,,"{'lat': -33.44685443886906, 'lon': -70.61971409583798}",2025-06-17T03:37:36.272794+00:00,
3649533,accident,,"{'lat': -33.41279973281085, 'lon': -70.59003784844971}",2025-06-17T03:37:38.557730+00:00,
1454038,accident,,"{'lat': -33.434432943093476, 'lon': -70.70740908097982}",2025-06-17T03:37:39.237268+00:00,
1177949,accident,,"{'lat': -33.4436496998826, 'lon': -70.57473198730958}",2025-06-17T03:37:39.464056+00:00,
3449131,accident,,"{'lat': -33.418571853458964, 'lon': -70.63904857013573}",2025-06-17T03:37:39.689392+00:00,
4272391,accident,,"{'lat': -33.367788060114485, 'lon': -70.71310897279918}",2025-06-17T03:37:39.923477+00:00,
8875083,accident,,"{'lat': -33.37618901478536, 'lon': -70.63652838276096}",2025-06-17T03:37:41.086335+00:00,
8288582,accident,,"{'lat': -33.47008139673463, 'lon': -70.5859955961106}",2025-06-17T03:37:42.251696+00:00,
3667410,accident,,"{'lat': -33.350705347227205, 'lon': -70.70580248690398}",2025-06-17T03:37:43.650460+00:00,
5072307,accident,,"{'lat': -33.448184800067594, 'lon': -70.66229210086284}",2025-06-17T03:37:44.327537+00:00,
1039303,accident,,"{'lat': -33.422074110155215, 'lon': -70.54835817272183}",2025-06-17T03:37:44.562412+00:00,
6479900,accident,,"{'lat': -33.436594370122535, 'lon': -70.54590299745074}",2025-06-17T03:37:44.805891+00:00,
7319428,accident,,"{'lat': -33.370630381396516, 'lon': -70.7090397377298}",2025-06-17T03:37:47.781749+00:00,
1148186,accident,,"{'lat': -33.383802274228536, 'lon': -70.71567782681936}",2025-06-17T03:37:47.999275+00:00,
5463332,accident,,"{'lat': -33.47070538425605, 'lon': -70.55721607017036}",2025-06-17T03:37:48.224425+00:00,
7734202,accident,,"{'lat': -33.440600887981645, 'lon': -70.69524060216449}",2025-06-17T03:37:48.446396+00:00,
2529794,accident,,"{'lat': -33.387555672662046, 'lon': -70.70765137767917}",2025-06-17T03:37:48.899393+00:00,
2482101,accident,,"{'lat': -33.414707241841214, 'lon': -70.55140774954207}",2025-06-17T03:37:50.070235+00:00,
2153744,accident,,"{'lat': -33.46733172555759, 'lon': -70.5493051692282}",2025-06-17T03:37:50.541695+00:00,
2477864,accident,,"{'lat': -33.38753394492969, 'lon': -70.70579294577004}",2025-06-17T03:37:51.483567+00:00,
8710830,accident,,"{'lat': -33.402340062133675, 'lon': -70.68596190327702}",2025-06-17T03:37:51.705953+00:00,
6539082,accident,,"{'lat': -33.41802407804538, 'lon': -70.55698602088839}",2025-06-17T03:37:52.870414+00:00,
5581011,accident,,"{'lat': -33.47920988322123, 'lon': -70.68624901888214}",2025-06-17T03:37:53.815319+00:00,
5413407,accident,,"{'lat': -33.36155918608172, 'lon': -70.6298482860869}",2025-06-17T03:37:54.717363+00:00,
4213770,accident,,"{'lat': -33.372014146537246, 'lon': -70.61021005769301}",2025-06-17T03:37:55.629939+00:00,
7134789,accident,,"{'lat': -33.400582825242466, 'lon': -70.66512118574082}",2025-06-17T03:37:55.853688+00:00,
5819113,accident,,"{'lat': -33.510557548855694, 'lon': -70.70863853813121}",2025-06-17T03:37:57.010597+00:00,
6431391,accident,,"{'lat': -33.49328054517011, 'lon': -70.56311679528157}",2025-06-17T03:37:58.329124+00:00,
1904729,accident,,"{'lat': -33.406960709179515, 'lon': -70.58826571319322}",2025-06-17T03:37:58.786836+00:00,
4003473,accident,,"{'lat': -33.45104098884768, 'lon': -70.73789242906028}",2025-06-17T03:37:59.243860+00:00,
5857325,accident,,"{'lat': -33.42276962749966, 'lon': -70.69457790284086}",2025-06-17T03:37:59.931164+00:00,
8311675,accident,,"{'lat': -33.48528171218543, 'lon': -70.65145085338493}",2025-06-17T03:38:02.259064+00:00,
1534711,accident,,"{'lat': -33.43825471988738, 'lon': -70.62785574448574}",2025-06-17T03:38:03.204324+00:00,
8002920,accident,,"{'lat': -33.39993088622073, 'lon': -70.73852331513385}",2025-06-17T03:38:04.133219+00:00,
9314207,accident,,"{'lat': -33.433083178087216, 'lon': -70.62701698594746}",2025-06-17T03:38:05.053645+00:00,
8164138,accident,,"{'lat': -33.46006077733464, 'lon': -70.65607513885892}",2025-06-17T03:38:05.525498+00:00,
9201312,accident,,"{'lat': -33.37213949738363, 'lon': -70.70853460598578}",2025-06-17T03:38:06.229122+00:00,
3191403,accident,,"{'lat': -33.47846947319686, 'lon': -70.69144633604392}",2025-06-17T03:38:06.450447+00:00,
5152402,accident,,"{'lat': -33.50063695145577, 'lon': -70.61536437705297}",2025-06-17T03:38:06.688127+00:00,
8822125,accident,,"{'lat': -33.3650659468384, 'lon': -70.6107208398761}",2025-06-17T03:38:07.140795+00:00,
9921970,accident,,"{'lat': -33.39698895404857, 'lon': -70.72794286478147}",2025-06-17T03:38:08.055921+00:00,
7813487,accident,,"{'lat': -33.39972286968395, 'lon': -70.73585472733315}",2025-06-17T03:38:08.748784+00:00,
1271675,accident,,"{'lat': -33.41204359141418, 'lon': -70.66088641483017}",2025-06-17T03:38:09.457943+00:00,
5888335,accident,,"{'lat': -33.40744566048209, 'lon': -70.60042341124921}",2025-06-17T03:38:10.146646+00:00,
4433486,accident,,"{'lat': -33.434836235684784, 'lon': -70.69218134557595}",2025-06-17T03:38:10.386734+00:00,
7634022,accident,,"{'lat': -33.487936205801496, 'lon': -70.66523574717746}",2025-06-17T03:38:11.076671+00:00,
2349075,accident,,"{'lat': -33.40305870346374, 'lon': -70.61624126554246}",2025-06-17T03:38:11.778671+00:00,
5829675,accident,,"{'lat': -33.38078937420647, 'lon': -70.7033569377325}",2025-06-17T03:38:12.011504+00:00,
6454012,accident,,"{'lat': -33.48345064868298, 'lon': -70.65569839614759}",2025-06-17T03:38:12.238165+00:00,
4273955,accident,,"{'lat': -33.42399503029225, 'lon': -70.67427910300744}",2025-06-17T03:38:13.597572+00:00,
6970416,accident,,"{'lat': -33.44097516803736, 'lon': -70.62614664501716}",2025-06-17T03:38:13.818406+00:00,
5680811,accident,,"{'lat': -33.44770031048881, 'lon': -70.6658219179538}",2025-06-17T03:38:14.739045+00:00,
3426455,accident,,"{'lat': -33.501808174577256, 'lon': -70.60210057565084}",2025-06-17T03:38:16.357930+00:00,
8181797,accident,,"{'lat': -33.50901300617832, 'lon': -70.70009340876499}",2025-06-17T03:38:16.582290+00:00,
8055354,accident,,"{'lat': -33.451455243537175, 'lon': -70.56249733167442}",2025-06-17T03:38:16.809965+00:00,
6095513,accident,,"{'lat': -33.48873408000946, 'lon': -70.57607653985644}",2025-06-17T03:38:17.493569+00:00,
4373865,accident,,"{'lat': -33.46918204023918, 'lon': -70.56672286315279}",2025-06-17T03:38:17.955978+00:00,
6414342,accident,,"{'lat': -33.43608565430837, 'lon': -70.66101831658784}",2025-06-17T03:38:18.417177+00:00,
4249933,accident,,"{'lat': -33.47557886220527, 'lon': -70.73144994274251}",2025-06-17T03:38:18.646756+00:00,
4011649,accident,,"{'lat': -33.49970607021111, 'lon': -70.6295041719521}",2025-06-17T03:38:20.261566+00:00,
1947380,accident,,"{'lat': -33.46263861432317, 'lon': -70.67404854638157}",2025-06-17T03:38:20.488917+00:00,
6019881,accident,,"{'lat': -33.38649141593943, 'lon': -70.62039985358973}",2025-06-17T03:38:20.967033+00:00,
1150836,accident,,"{'lat': -33.442327766792474, 'lon': -70.66313303481506}",2025-06-17T03:38:21.434895+00:00,
1352878,accident,,"{'lat': -33.359221233312574, 'lon': -70.61316807432867}",2025-06-17T03:38:21.665158+00:00,
9084410,accident,,"{'lat': -33.50302237829596, 'lon': -70.69128413373163}",2025-06-17T03:38:22.850827+00:00,
5689461,accident,,"{'lat': -33.36501790066851, 'lon': -70.62549965677412}",2025-06-17T03:38:23.312993+00:00,
2009120,accident,,"{'lat': -33.37904027112946, 'lon': -70.6002017659076}",2025-06-17T03:38:23.789319+00:00,
2861618,accident,,"{'lat': -33.443452914550186, 'lon': -70.61618436217611}",2025-06-17T03:38:25.152473+00:00,
7474283,accident,,"{'lat': -33.467847962114924, 'lon': -70.6802868151616}",2025-06-17T03:38:25.380810+00:00,
7108532,accident,,"{'lat': -33.423523944255024, 'lon': -70.68373326278551}",2025-06-17T03:38:26.070215+00:00,
7770949,accident,,"{'lat': -33.34876668129962, 'lon': -70.73311497674483}",2025-06-17T03:38:26.304630+00:00,
8565409,accident,,"{'lat': -33.44718834470304, 'lon': -70.71338035388712}",2025-06-17T03:38:26.979379+00:00,
8426854,accident,,"{'lat': -33.3955904772504, 'lon': -70.66882415055443}",2025-06-17T03:38:27.900292+00:00,
8625702,accident,,"{'lat': -33.5059508078086, 'lon': -70.64512618767257}",2025-06-17T03:38:28.123582+00:00,
9218852,accident,,"{'lat': -33.45077114677362, 'lon': -70.58913369010898}",2025-06-17T03:38:29.055488+00:00,
1583912,accident,,"{'lat': -33.38485141575309, 'lon': -70.71042517844184}",2025-06-17T03:38:29.529776+00:00,
6841993,accident,,"{'lat': -33.46273439056793, 'lon': -70.58754392608478}",2025-06-17T03:38:30.479280+00:00,
9667187,accident,,"{'lat': -33.37242440634743, 'lon': -70.6299894907759}",2025-06-17T03:38:30.935281+00:00,
1015317,accident,,"{'lat': -33.366371313901624, 'lon': -70.64864283534598}",2025-06-17T03:38:31.879410+00:00,
4977044,accident,,"{'lat': -33.40587775384236, 'lon': -70.63301419373896}",2025-06-17T03:38:34.396309+00:00,
5861048,accident,,"{'lat': -33.354025105603064, 'lon': -70.71154953810176}",2025-06-17T03:38:34.854679+00:00,
4327563,accident,,"{'lat': -33.38400835056244, 'lon': -70.6061007540207}",2025-06-17T03:38:35.554573+00:00,
9863609,accident,,"{'lat': -33.39039788743382, 'lon': -70.58245977460203}",2025-06-17T03:38:35.785599+00:00,
5058163,accident,,"{'lat': -33.49782894592862, 'lon': -70.67434341998914}",2025-06-17T03:38:36.021042+00:00,
5950585,accident,,"{'lat': -33.35703642697587, 'lon': -70.5545954526212}",2025-06-17T03:38:36.245407+00:00,
3298145,accident,,"{'lat': -33.378848565096845, 'lon': -70.6166621618743}",2025-06-17T03:38:36.467909+00:00,
6120434,accident,,"{'lat': -33.353457104390074, 'lon': -70.73396707108995}",2025-06-17T03:38:37.377276+00:00,
